Date,Model_Type,Attack,Accuracy,Epsilon,Alpha,Steps,Dataset
2025-11-30 20:58:36,Classique,Clean,83.14,0.0314,0.0078,1,GTSRB
2025-11-30 20:58:36,Robuste,Clean,61.49,0.0314,0.0078,1,GTSRB
2025-11-30 20:58:36,Classique,FGSM,4.44,0.0314,0.0078,1,GTSRB
2025-11-30 20:58:36,Robuste,FGSM,35.24,0.0314,0.0078,1,GTSRB
2025-11-30 20:58:36,Classique,PGD,0.0,0.0314,0.0078,20,GTSRB
2025-11-30 20:58:36,Robuste,PGD,28.87,0.0314,0.0078,20,GTSRB
2025-11-30 20:58:36,Classique,MIM,0.0,0.0314,0.0078,20,GTSRB
2025-11-30 20:58:36,Robuste,MIM,29.64,0.0314,0.0078,20,GTSRB
